job_title,job_company_name,job_location,job_salary,job_details,job_date,today_date
,Capgemini,"Bengaluru, Karnataka",Salary Not Mentioned,"Familiarity with front end technologies like JavaScript and HTML5.
Expertise in at least one popular Python framework like Django Flask or Pyramid.",5 days ago,21-07-21
,Rinteger,"Bengaluru, Karnataka","₹18,000 - ₹25,000 a month","Designing and building the website front-end.
You will be responsible for both back-end and front-end development including the implementation of WordPress…",2 days ago,21-07-21
,Dot Angle,"Bengaluru, Karnataka•Remote","₹25,000 a month","Qualification: Bachelor's degree in Computer Science, Engineering, or related technical or business field.
Proficient in HTML5, CSS3, JavaScript, React, Angular…",5 days ago,21-07-21
Jr. Software Developer,DATSolutions India Private LTD,"Bengaluru, Karnataka",Salary Not Mentioned,"Front end technologies like HTML, CSS and JavaScript /jQuery.
Deliver great quality features on assigned project(s).
Ability to fix the raised bugs.",28 days ago,21-07-21
AngularJS Developer,Infosys Limited,"Bengaluru, Karnataka",Salary Not Mentioned,"Applications,Bachelor Of Technology,Post Graduate of Computing.
A day in the life of an Infoscion • As part of the Infosys Delivery team, you will work on…",18 days ago,21-07-21
SFCC Developer - Front End,Ralph Lauren,"Bengaluru, Karnataka",Salary Not Mentioned,"5+ years of experience as a frontend developer.
As an SFCC Developer, this role will be instrumental in delivering digital ecommerce solutions for the Ralph…",30+ days ago,21-07-21
Junior Frontend Developer,Ferill Dynamics,"Bengaluru, Karnataka",Salary Not Mentioned,"We are looking for a developer with knowledge about frontend frameworks and can translate design mockups into fully functioning interfaces with clean, organized…",30+ days ago,21-07-21
PHP Developer - Urgent Hiring,Teloxis Consulting,"Bengaluru, Karnataka","₹20,000 - ₹60,000 a month","Integration of user-facing elements developed by front-end developers.
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3.",9 days ago,21-07-21
,Upwork,"Bengaluru, Karnataka•Remote",Salary Not Mentioned,"Helping back-end developers with coding and troubleshooting.
Collaborating with back-end developers and web designers to improve usability.",6 days ago,21-07-21
Frontend Developer (VueJS),TheLayerProject,"Bengaluru, Karnataka•Temporarily Remote","₹5,00,000 a year","You will coordinate with other team members, including back-end developers and other stakeholders.
You will ensure that you produce robust, secure, well-tested,…",27 days ago,21-07-21
